lsmh_id,lifepak_id,action,notes
LSMH00000,NA,drop,Apparent test data
LSMH00666,786805,keep,
LSMH00680,280426,keep,
LSMH00709,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00749,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00752,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00755,095387,keep,
LSMH00765,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00766,916614,keep,
LSMH00768,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00773,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00774,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00776,997589,keep,
LSMH00784,262266,keep,
LSMH00785,092365,keep,
LSMH00787,052994,keep,
LSMH00793,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00794,796041,keep,
LSMH00795,245719,keep,
LSMH00800,070858,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00801,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00802,117138,keep,
LSMH00803,412931,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00806,995737,keep,
LSMH00807,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00808,255574,keep,
LSMH00809,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00817,839206,keep,
LSMH00820,969268,keep,
LSMH00822,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00823,094288,keep,
LSMH00825,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00827,571041,keep,
LSMH00830,042826,keep,
LSMH00832,168477,keep,
LSMH00834,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00835,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00837,721049,keep,
LSMH00838,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00839,245768,keep,
LSMH00841,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00843,007405,keep,
LSMH00844,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00846,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00847,929308,keep,
LSMH00853,NA,drop,"""Not eligible,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00854,019380,keep,
LSMH00856,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00859,467546,keep,
LSMH00861,921620,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00865,497981,keep,
LSMH00866,117066,keep,
LSMH00868,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00875,033121,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00877,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00878,NA,drop,"""Not eligible,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00879,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00880,997439,keep,
LSMH00886,431874,keep,
LSMH00888,366106,drop,"Opted out, per README_ttt_p2_data_collection"
LSMH00891,554804,keep,
LSMH00893,754568,keep,
LSMH00894,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00896,552344,keep,"Opted out but data can be used, per README_ttt_p2_data_collection"
LSMH00897,233908,keep,
LSMH00898,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00899,515786,keep,
LSMH00900,288190,keep,
LSMH00901,923381,keep,
LSMH00904,434162,keep,
LSMH00905,686816,keep,
LSMH00906,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00907,NA,drop,"""Not eligible,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00910,380945,keep,
LSMH00911,706309,keep,
LSMH00919,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00920,317903,keep,
LSMH00922,839979,keep,
LSMH00923,033949,keep,
LSMH00925,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00934,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00939,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00941,417892,keep,
LSMH00946,532325,keep,
LSMH00948,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00949,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00952,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00953,268045,keep,"LifePak ID in Qualtrics data is incorrect, per README_ttt_p2_data_collection"
LSMH00956,283165,keep,
LSMH00962,075872,keep,
LSMH00968,492330,keep,
LSMH00971,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00972,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00976,993823,keep,
LSMH00977,164083,keep,
LSMH00978,237459,keep,
LSMH00986,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00991,404066,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH00992,493955,keep,"LifePak ID in Qualtrics data is incorrect, per README_ttt_p2_data_collection"
LSMH00996,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01001,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01008,640697,keep,
LSMH01012,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01019,823958,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01019,906962,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01020,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01021,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01025,203826,keep,
LSMH01035,609499,keep,
LSMH01041,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01042,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01043,930010,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01050,943391,keep,
LSMH01051,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01056,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01057,319665,keep,
LSMH01065,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01069,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01072,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01077,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01078,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01083,324562,drop,"Invalid, per README_ttt_p2_data_collection"
LSMH01089,594699,keep,
LSMH01091,293541,keep,
LSMH01094,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01095,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01096,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01107,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01109,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01121,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01122,952235,keep,
LSMH01123,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01124,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01127,950572,keep,
LSMH01131,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01132,723137,keep,
LSMH01134,557454,keep,
LSMH01136,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01139,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01143,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01145,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01146,540640,keep,
LSMH01150,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01155,322476,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01155,334418,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01156,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01161,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01162,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01178,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01182,257707,keep,
LSMH01184,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01186,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01187,993565,keep,
LSMH01189,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01190,716485,keep,
LSMH01195,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01197,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01203,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01213,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01214,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01215,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01234,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
