data_type,survey_name,filename,size,nrow,ncol,hash
lifepak,TRACK to TREAT P2,NIS_Wide20250521_17_42_45.csv,8080123,26460,58,3dfb6588ac19a1cb768092ec412bf636dce4b499698abe0faaa7a31304b0d10e
lifepak,TRACK to TREAT P2 - LSMH01019,NIS_Wide20250521_17_33_11.csv,31220,104,58,0a3eb00cbadb4f512952e52304dc81adc8d60b78458333d514ceff64e8cf58e9
lifepak,TRACK to TREAT P2 - LSMH01155,NIS_Wide20250521_17_27_29.csv,6579,21,58,12169ac88b114e8a328e22d00e0b347fc4c0b47b91cc7e235ccddc5082f72388
lifepak,TRACK to TREAT P2 - Pilot 2,NIS_Wide20250521_19_44_38.csv,641580,2666,58,3546628c04b67bdd4a24181d2fce5b29753330671f5711f7f68368bbd5fa11fe
yb_qualtrics,DP5 Phase 2 - Youth - Baseline,"DP5+Phase+2+-+Youth+-+Baseline_January+21,+2026_11.24_n.csv",2485433,331,610,7e21b28a960d91111972ab36cacb5ac1ae56a247fec66be16c9235f76a6b5409
yi_qualtrics,DP5 Phase 2 - Youth - Interventions,"DP5+Phase+2+-+Youth+-+Interventions_January+21,+2026_11.25_n.csv",566952,239,603,70470f087fbd508c99df20bc47b628948e5bee297c90ac72ed79c29e5c7853ec
y3m_qualtrics,DP5 Phase 2 - Youth - FU 1 - 3M,"DP5+Phase+2+-+Youth+-+FU+1+-+3M_January+21,+2026_11.24_n.csv",654734,465,572,4427fc8c812c8119760992af2afe8857c1f5a788ae95b1ef46a86ee91ee4d8f5
y6m_qualtrics,DP5 Phase 2 - Youth - FU 2 - 6M,"DP5+Phase+2+-+Youth+-+FU+2+-+6M_January+21,+2026_11.24_n.csv",553957,369,571,3fd9b082b672fd7400ee1449531aa6f37f14fac11e20a9aa2faed34ed218e54f
y12m_qualtrics,DP5 Phase 2 - Youth - FU 3 - 12M,"DP5+Phase+2+-+Youth+-+FU+3+-+12M_January+21,+2026_11.24_n.csv",430878,237,572,ce1cfa7c69833405e2d4289a5ac33f6a80e58d01d5c1b928c83881ac0aabb173
y18m_qualtrics,DP5 Phase 2 - Youth - FU 4 - 18M,"DP5+Phase+2+-+Youth+-+FU+4+-+18M_January+21,+2026_11.25_n.csv",371898,191,572,f441945bc5387d5299ac94bf2d6078cd4a3ac16c24ec86b6ac6c3e0be476911f
y24m_qualtrics,DP5 Phase 2 - Youth - FU 5 - 24M,"DP5+Phase+2+-+Youth+-+FU+5+-+24M_January+29,+2026_10.59_n.csv",365876,194,583,a37ea2f86e764b8e199335e24d4d89a9348dd7f5e111dffd88f87fa3f5dac9eb
pb_qualtrics,DP5 Phase 2 - Parent - Baseline,"DP5+Phase+2+-+Parent+-+Baseline_January+21,+2026_11.17_n.csv",624063,281,512,e87468476e3017b9ccb47b942bc89dd7c91fe1bad31acd62d10dac390fe30bdc
p3m_qualtrics,DP5 Phase 2 - Parent - FU 1 - 3M,"DP5+Phase+2+-+Parent+-+FU+1+-+3M_January+21,+2026_11.18_n.csv",308267,266,335,7e8167a7f1661f2ed58fd5140a643c19b98f37b4528d40ec641d99be67f4de67
p6m_qualtrics,DP5 Phase 2 - Parent - FU 2 - 6M,"DP5+Phase+2+-+Parent+-+FU+2+-+6M_January+21,+2026_11.18_n.csv",273389,224,335,6735ce725ff7ecacac401fc5405a9e38ff673086f856ca0bf4648f6c8256a636
p12m_qualtrics,DP5 Phase 2 - Parent - FU 3 - 12M,"DP5+Phase+2+-+Parent+-+FU+3+-+12M_January+21,+2026_11.18_n.csv",232499,176,336,aa48d2aa50325350fee7143628c525f666bb605aa693757f859d5cfb8bdf66cf
p18m_qualtrics,DP5 Phase 2 - Parent - FU 4 - 18M,"DP5+Phase+2+-+Parent+-+FU+4+-+18M_January+21,+2026_11.18_n.csv",215240,160,335,81be16d0603304a4b905079ecf2e0c74062054c718d542843e22cde5674dbced
p24m_qualtrics,DP5 Phase 2 - Parent - FU 5 - 24M,"DP5+Phase+2+-+Parent+-+FU+5+-+24M_January+21,+2026_11.19_n.csv",196689,141,339,af6a5a466474858eebda568ab8fa94d85988f25453224bbb2447777edc07fdc0
